,City_Name,City_Cod,Longitude,Latitude,Temperature_Celsius,Temperature_Feels_Like,Temperature_Min,Temperature_Max,Pressure,Humidity,Wind_Speed,Timezone,Clouds,Visibility,Timestamp
0,Warsaw,200,21.0118,52.2298,1.91,-2.6,0.88,3.69,1009,91,5.14,3600,75,9000,2025-01-23 12:44:50.172295
0,Warsaw,200,21.0118,52.2298,3.34,-0.81,1.58,4.8,1008,87,5.14,3600,40,10000,2025-01-23 13:38:20.483484
0,Warsaw,200,21.0118,52.2298,2.65,-1.67,2.02,3.24,1008,86,5.14,3600,0,10000,2025-01-23 16:21:26.987064
0,Warsaw,200,21.0118,52.2298,2.65,-1.67,2.02,3.24,1008,86,5.14,3600,0,10000,2025-01-23 16:21:26.987064
